날짜,종가,전일비,시가,고가,저가,거래량
2022.01.17,49750.0,1350.0,49050.0,49900.0,48200.0,447966.0
2022.01.14,48400.0,2500.0,49900.0,50600.0,48150.0,570352.0
2022.01.13,50900.0,3700.0,54500.0,54600.0,50500.0,768083.0
2022.01.12,54600.0,1400.0,55500.0,56100.0,54500.0,436417.0
2022.01.11,56000.0,300.0,55300.0,57100.0,54700.0,596247.0
2022.01.10,55700.0,1300.0,57400.0,57800.0,55700.0,454280.0
2022.01.07,57000.0,400.0,57100.0,58200.0,56600.0,622213.0
2022.01.06,56600.0,300.0,56000.0,57400.0,55600.0,412980.0
2022.01.05,56900.0,600.0,55900.0,57500.0,55000.0,618991.0
2022.01.04,56300.0,1900.0,55200.0,56500.0,55000.0,639469.0
2022.01.03,54400.0,1500.0,55200.0,55200.0,53300.0,476968.0
2021.12.30,55900.0,1400.0,54900.0,56300.0,54600.0,548771.0
2021.12.29,54500.0,900.0,53800.0,54900.0,53700.0,311256.0
2021.12.28,53600.0,1500.0,55400.0,56300.0,53400.0,693283.0
2021.12.27,55100.0,1100.0,56900.0,57600.0,55100.0,1011631.0
2021.12.24,54000.0,400.0,54400.0,55200.0,52800.0,534060.0
2021.12.23,54400.0,2300.0,55800.0,56500.0,54000.0,755878.0
2021.12.22,56700.0,100.0,57200.0,57300.0,55700.0,404427.0
2021.12.21,56600.0,300.0,57400.0,58000.0,56300.0,531177.0
2021.12.20,56900.0,600.0,56300.0,57300.0,56000.0,407023.0
2021.12.17,56300.0,400.0,57000.0,57300.0,55400.0,489796.0
2021.12.16,56700.0,700.0,56100.0,57500.0,55700.0,829855.0
2021.12.15,56000.0,900.0,55200.0,56400.0,54800.0,711323.0
2021.12.14,55100.0,500.0,55500.0,56000.0,54400.0,576765.0
2021.12.13,54600.0,1600.0,53400.0,55300.0,53200.0,875889.0
2021.12.10,53000.0,400.0,54200.0,54900.0,53000.0,769309.0
2021.12.09,53400.0,500.0,53500.0,53800.0,52600.0,415851.0
2021.12.08,53900.0,1800.0,52600.0,54400.0,52100.0,953669.0
2021.12.07,52100.0,100.0,51100.0,52200.0,50500.0,546947.0
2021.12.06,52000.0,800.0,51200.0,53800.0,51000.0,1049585.0
2021.12.03,51200.0,600.0,51700.0,52200.0,49950.0,890217.0
2021.12.02,51800.0,1200.0,55000.0,55900.0,51300.0,1693310.0
2021.12.01,53000.0,5400.0,57700.0,58500.0,52900.0,1975565.0
2021.11.30,58400.0,1100.0,56000.0,60800.0,52800.0,7086085.0
2021.11.29,57300.0,700.0,61000.0,62700.0,55600.0,4357046.0
2021.11.26,58000.0,5000.0,53700.0,58900.0,52500.0,4121987.0
2021.11.25,53000.0,1400.0,52100.0,53400.0,51000.0,700418.0
2021.11.24,51600.0,500.0,52200.0,54800.0,51600.0,1497611.0
2021.11.23,51100.0,100.0,50300.0,51600.0,49500.0,469392.0
2021.11.22,51000.0,2700.0,54000.0,54200.0,50200.0,961021.0
2021.11.19,53700.0,400.0,53300.0,53800.0,51400.0,605033.0
2021.11.18,53300.0,300.0,53800.0,54100.0,52500.0,543013.0
2021.11.17,53600.0,300.0,53700.0,54000.0,52600.0,792399.0
2021.11.16,53300.0,1700.0,51900.0,53400.0,51600.0,1281280.0
2021.11.15,51600.0,1950.0,50300.0,51900.0,50000.0,1296787.0
2021.11.12,49650.0,5250.0,48000.0,52400.0,47950.0,4378070.0
2021.11.11,44400.0,1650.0,46300.0,46850.0,43700.0,902333.0
2021.11.10,46050.0,1100.0,46900.0,47650.0,42600.0,450735.0
2021.11.09,47150.0,1150.0,46050.0,47350.0,45350.0,439819.0
2021.11.08,46000.0,2700.0,47400.0,48450.0,46000.0,485130.0
2021.11.05,48700.0,50.0,48900.0,49400.0,47400.0,416541.0
2021.11.04,48650.0,1200.0,49850.0,49900.0,48100.0,551080.0
2021.11.03,49850.0,2000.0,48350.0,49950.0,47950.0,1056060.0
2021.11.02,47850.0,550.0,47700.0,48050.0,47000.0,369011.0
2021.11.01,47300.0,1500.0,46050.0,48550.0,46050.0,850407.0
2021.10.29,45800.0,350.0,46300.0,46550.0,45700.0,259146.0
2021.10.28,46150.0,500.0,45900.0,46600.0,45700.0,305083.0
2021.10.27,45650.0,50.0,45700.0,46050.0,45300.0,186693.0
2021.10.26,45600.0,150.0,45600.0,46100.0,45250.0,194350.0
2021.10.25,45450.0,1550.0,47200.0,47250.0,45450.0,357414.0
2021.10.22,47000.0,1200.0,46100.0,48000.0,45600.0,571772.0
2021.10.21,45800.0,650.0,46600.0,46750.0,45800.0,230167.0
2021.10.20,46450.0,50.0,46600.0,47200.0,46450.0,249524.0
2021.10.19,46400.0,500.0,46000.0,46800.0,45950.0,317182.0
2021.10.18,45900.0,350.0,46550.0,46850.0,45500.0,531564.0
2021.10.15,46250.0,550.0,46050.0,46900.0,45850.0,355219.0
2021.10.14,45700.0,1200.0,44800.0,45750.0,44300.0,307927.0
2021.10.13,44500.0,1000.0,43500.0,45000.0,43400.0,362972.0
2021.10.12,43500.0,200.0,43400.0,44200.0,42000.0,289849.0
2021.10.08,43700.0,300.0,43950.0,44550.0,43300.0,304061.0
2021.10.07,43400.0,1150.0,42450.0,43850.0,42450.0,282850.0
2021.10.06,42250.0,2600.0,45050.0,45200.0,42200.0,586378.0
2021.10.05,44850.0,600.0,44250.0,46500.0,44250.0,831004.0
2021.10.01,44250.0,900.0,44750.0,46650.0,43700.0,805503.0
2021.09.30,45150.0,100.0,45350.0,46750.0,45000.0,535177.0
2021.09.29,45050.0,1650.0,45200.0,45800.0,44650.0,602999.0
2021.09.28,46700.0,900.0,47300.0,48000.0,46700.0,614506.0
2021.09.27,47600.0,1750.0,49400.0,49450.0,47250.0,632311.0
2021.09.24,49350.0,550.0,50400.0,50400.0,48250.0,901914.0
2021.09.23,49900.0,1650.0,48100.0,50600.0,47750.0,1499802.0
2021.09.17,48250.0,1150.0,47150.0,48700.0,46450.0,957692.0
2021.09.16,47100.0,800.0,48800.0,49100.0,46650.0,1243170.0
2021.09.15,47900.0,3300.0,45500.0,48450.0,45200.0,2387687.0
2021.09.14,44600.0,1800.0,42900.0,46750.0,42900.0,2570810.0
2021.09.13,42800.0,1850.0,42950.0,47150.0,42550.0,4298591.0
2021.09.10,40950.0,900.0,42000.0,42500.0,40400.0,1244395.0
2021.09.09,41850.0,850.0,42700.0,43400.0,41100.0,1157568.0
2021.09.08,42700.0,3050.0,45750.0,45750.0,42500.0,1730405.0
2021.09.07,45750.0,200.0,46200.0,46350.0,45650.0,633981.0
2021.09.06,45950.0,1200.0,47200.0,47350.0,45950.0,669914.0
2021.09.03,47150.0,300.0,46750.0,48450.0,45550.0,1625711.0
2021.09.02,46850.0,2250.0,49300.0,49300.0,46800.0,1555998.0
2021.09.01,49100.0,100.0,49350.0,49900.0,48850.0,833209.0
2021.08.31,49000.0,1700.0,50700.0,50900.0,48650.0,1453218.0
2021.08.30,50700.0,2100.0,52800.0,52900.0,50500.0,1061156.0
2021.08.27,52800.0,1600.0,51200.0,53400.0,50700.0,1353914.0
2021.08.26,51200.0,100.0,51500.0,52100.0,51000.0,775821.0
2021.08.25,51100.0,1300.0,52100.0,52200.0,50800.0,838976.0
2021.08.24,52400.0,1600.0,51200.0,52800.0,50700.0,1879344.0
2021.08.23,50800.0,1800.0,53100.0,53300.0,50200.0,1096912.0
2021.08.20,52600.0,2900.0,56400.0,56500.0,52000.0,1798054.0
2021.08.19,55500.0,700.0,56500.0,58000.0,55400.0,1780424.0
2021.08.18,56200.0,200.0,56000.0,57700.0,56000.0,1691499.0
2021.08.17,56000.0,3000.0,58000.0,59500.0,55800.0,2200438.0
2021.08.13,59000.0,2200.0,61500.0,61500.0,58100.0,2457781.0
2021.08.12,61200.0,2900.0,63600.0,64400.0,60400.0,3023473.0
2021.08.11,64100.0,2300.0,65900.0,68900.0,63300.0,8553666.0
2021.08.10,61800.0,3500.0,58600.0,64400.0,58100.0,5768044.0
2021.08.09,58300.0,400.0,58200.0,58600.0,57200.0,814858.0
2021.08.06,57900.0,900.0,58900.0,59000.0,57600.0,787883.0
2021.08.05,58800.0,600.0,58400.0,59500.0,58200.0,1194360.0
2021.08.04,58200.0,100.0,58000.0,58800.0,57300.0,987463.0
2021.08.03,58300.0,2700.0,56200.0,58300.0,55400.0,1837231.0
2021.08.02,55600.0,800.0,56800.0,57300.0,55100.0,802171.0
2021.07.30,56400.0,600.0,55700.0,56700.0,54900.0,927191.0
2021.07.29,55800.0,600.0,56300.0,57100.0,55400.0,891907.0
2021.07.28,56400.0,1600.0,58000.0,58700.0,55900.0,1257765.0
2021.07.27,58000.0,900.0,58900.0,59000.0,57300.0,1132791.0
2021.07.26,58900.0,1900.0,57500.0,60200.0,57300.0,2544895.0
2021.07.23,57000.0,2000.0,55700.0,57200.0,55200.0,2080670.0
2021.07.22,55000.0,2800.0,58000.0,58200.0,54900.0,2468489.0
2021.07.21,57800.0,600.0,59500.0,59700.0,57600.0,1922552.0
2021.07.20,58400.0,700.0,59300.0,60200.0,57100.0,3464134.0
2021.07.19,59100.0,1900.0,63700.0,64800.0,59100.0,6549493.0
2021.07.16,61000.0,4000.0,57000.0,66700.0,56900.0,18438286.0
